,"Name
","1790
","1800
","1810
","1820
","1830
","1840
","1850
","1860
"
0,Alabama,,494,2565,41879,117549,253532,342844,435080
1,Arkansas,,,136,1617,4576,19935,47100,111115
2,California,,,,,,,0,0
3,Colorado,,,,,,,,0
4,Connecticut,2764,951,310,97,25,17,0,0
5,Delaware,8887,6153,4177,4509,3292,2605,2290,1798
6,District of Columbia,,2072,3554,4520,4505,3320,3687,3185
7,Florida,,,,,15501,25717,39310,61745
8,Georgia,29264,59699,105218,149656,217531,280944,381682,462198
9,Illinois,,107,168,917,747,331,0,0
10,Indiana,,28,237,190,3,3,0,0
11,Iowa,,,,,,16,0,0
12,Kansas,,,,,,,,2
13,Kentucky,12430,40343,80561,126732,165213,182258,210981,225483
14,Louisiana,,,34660,69064,109588,168452,244809,331726
15,Maine,0,0,0,0,2,0,0,0
16,Maryland,103036,105635,111502,107398,102994,89737,90368,87189
17,Massachusetts,0,0,0,0,1,0,0,0
18,Michigan,,0,24,0,1,0,0,0
19,Minnesota,,,,,,,0,0
20,Mississippi,,2995,14523,32814,65659,195211,309878,436631
21,Missouri,,,2875,10222,25091,58240,87422,114931
22,Nebraska,,,,,,,,15
23,Nevada,,,,,,,,0
24,New Hampshire,158,8,0,0,3,1,0,0
25,New Jersey,11423,12422,10851,7557,2254,674,236,18
26,New Mexico,,,,,,,0,0
27,New York,21324,20613,15017,10088,75,4,0,0
28,North Carolina,100572,133296,168824,204917,245601,245817,288548,331059
29,Ohio,,0,0,0,6,3,0,0
30,Oregon,,,,,,,0,0
31,Pennsylvania,3737,1706,795,211,403,64,0,0
32,Rhode Island,948,380,108,48,17,5,0,0
33,South Carolina,107094,146151,196365,258475,315401,327038,384984,402406
34,Tennessee,3417,13584,44535,80107,141603,183059,239459,275719
35,Texas,,,,,,,58161,182566
36,Utah,,,,,,,26,29
37,Vermont,0,0,0,0,0,0,0,0
38,Virginia,287959,339499,383521,411886,453698,431873,452028,472494
39,Washington,,,,,,0,0,0
40,West Virginia,4668,7172,10836,15169,17673,18488,20500,18371
41,Wisconsin,,,,0,31,11,0,0
42,United States,697681,893602,1191362,1538022,2009043,2487355,3204313,3953760
