,"Name
","Admitted[note 2]
","1790
","1800
","1810
","1820
","1830
","1840
","1850
","1860
"
0,Alabama,1819,,1250,9046,127901,309527,590756,771623,964201
1,Alaska,1959,,,,,,,,
2,American Samoa,1900,,,,,,,,
3,Arizona,1912,,,,,,,,
4,Arkansas,1836,,,1062,14273,30388,97574,209897,435450
5,California,1850,,,,,,,92597,379994
6,Colorado,1876,,,,,,,,34277
7,Connecticut,1788,237946,251002,262042,275202,297675,309978,370792,460147
8,Delaware,1787,59096,64273,72674,72749,76748,78085,91532,112216
9,District of Columbia,1790,,8144,15471,23336,30261,33745,51687,75080
10,Florida,1845,,,,,34730,54477,87445,140424
11,Georgia,1788,82548,162686,251407,340989,516823,691392,906185,1057286
12,Guam,1899,,,,,,,,
13,Hawaii,1959,,,,,,,,
14,Idaho,1890,,,,,,,,
15,Illinois,1818,,2458,12282,55211,157445,476183,851470,1711951
16,Indiana,1816,,2632,24520,147178,343031,685866,988416,1350428
17,Iowa,1846,,,,,,43112,192214,674913
18,Kansas,1861,,,,,,,,107206
19,Kentucky,1792,73677,220959,406511,564317,687917,779828,982405,1155684
20,Louisiana,1812,,,76556,153407,215739,352411,517762,708002
21,Maine,1820,96540,151719,228705,298335,399455,501793,583169,628279
22,Maryland,1788,319728,341548,380546,407350,447040,470019,583034,687049
23,Massachusetts,1788,378787,422845,472040,523287,610408,737699,994514,1231066
24,Michigan,1837,,3757,4762,7452,28004,212267,397654,749113
25,Minnesota,1858,,,,,,,6077,172023
26,Mississippi,1817,,7600,31306,75448,136621,375651,606526,791305
27,Missouri,1821,,,19783,66586,140455,383702,682044,1182012
28,Montana,1889,,,,,,,,
29,Nebraska,1867,,,,,,,,28841
30,Nevada,1864,,,,,,,,6857
31,New Hampshire,1788,141885,183858,214360,244161,269328,284574,317976,326073
32,New Jersey,1787,184139,211149,245555,277575,320823,373306,489555,672035
33,New Mexico,1912,,,,,,,61547,87034
34, New York,1788,340120,586050,959049,1372812,1918608,2428921,3097394,3880735
35,North Carolina,1789,393751,478103,556526,638829,737987,753419,869039,992622
36,North Dakota,1889,,,,,,,,
37,Northern Mariana Islands,1986,,,,,,,,
38,Ohio,1803,,42159,230760,581434,937903,1519467,1980329,2339511
39,Oklahoma,1907,,,,,,,,
40,Oregon,1859,,,,,,,12093,52465
41,Pennsylvania,1787,434373,602545,810091,1049458,1348233,1724033,2311786,2906215
42,Puerto Rico,1899,,,,,,,,
43,Rhode Island,1790,68825,69122,76931,83059,97199,108830,147545,174620
44,South Carolina,1788,249073,345591,415115,502741,581185,594398,668507,703708
45,South Dakota,1889,,,,,,,,4837
46,Tennessee,1796,35691,105602,261727,422813,681904,829210,1002717,1109801
47,Texas,1845,,,,,,,212592,604215
48,U.S. Virgin Islands,1917,,,,,,,,
49,Utah,1896,,,,,,,11380,40273
50,Vermont,1791,85425,154465,217713,235764,280652,291948,314120,315098
51,Virginia,1788,691937,807557,877683,938261,1044054,1025227,1119348,1219630
52, Washington,1889,,,,,,,1201,11594
53,West Virginia,1863,55873,78592,105469,136808,176924,224537,302313,376688
54,Wisconsin,1848,,,,1444,3635,30945,305391,775881
55,Wyoming,1890,,,,,,,,
56,United States,,3929214,5308483,7239881,9638453,12860702,17063353,23191876,31443321
